"id_loja","nm_fantasia","nm_nome_loja","fl_produtos_especiais","nm_inscricao_estadual","tx_website","quantidade_skus","op_type","dt_process_stage","partition_ano_mes"
1473,Natrium,Natrium Farmacia de Manipulação,"0","111974002116",https://www.natrium.com.br,150,I,2023-11-27 00:01:03.000,"197001"
236,Ajef E-Comerc,Ajef E-Comerc,"0","121.197.329.117",https://ajefx.com.br,30,I,2023-11-27 00:01:03.000,"197001"
275,Meias São José,Mega São José,"0","114.630.883.118",https://www.megasaojose.com.br,46,I,2023-11-27 00:01:03.000,"197001"
606,Somar Mega Shop,Somar Mega Shop,"0","128040114118",https://www.somarmegashop.com.br,500,I,2023-11-27 00:01:03.000,"197001"
792,USEBSOIN,USEBSOIN,"0","12615671",www.usebsoin.com.br,2,I,2023-11-27 00:01:03.000,"197001"
809,Mk import store,MK ImportStore,"0","126.548.236.113",,10,I,2023-11-27 00:01:03.000,"197001"
891,NEEW,NEEWPLACE,"0","127.378.584.110",www.agencianeew.com.br,1800,I,2023-11-27 00:01:03.000,"197001"
904,Mikah777,Mikah777,"0","626.444.090.118",www.mikah777.com.br,300,I,2023-11-27 00:01:03.000,"197001"
1348,Pronutry Empório,Pronutry Empório,"0","562336595119",,1000,I,2023-11-27 00:01:03.000,"197001"
1163,Eleve Suplementos,Eleve Suplementos,"0","083819304",www.elevesuplementos.com.br,100,I,2023-11-27 00:01:03.000,"197001"
551,Favo Beauty,id 8392,"0","0100194192",https://favobeauty.commercesuite.com.br,20,I,2023-11-27 00:01:03.000,"197001"
1186,Nanda Cosméticos,Nanda Intimus,"1","183389828",nandaintimus.com.br,100000,I,2023-11-27 00:01:03.000,"197001"
1225,Do Re Mi Fraldas,Do Re Mi Fraldas,"1","260908878",www.doremifraldas.com.br,913,I,2023-11-27 00:01:03.000,"197001"
1460,Arborenze,Arborenze,"0","0000",arborenze.com.br,4,I,2023-11-27 00:01:03.000,"197001"
97,Jr Produtos de Beleza,Jr Produtos de Beleza,"1","9081333901",www.jrbeleza.com.br,1000,I,2023-11-27 00:01:03.000,"197001"
816,Baby Central,Baby Central,"0","407.614.364.110",https://babycentral.com.br,856,I,2023-11-27 00:01:03.000,"197001"
343,Kosmet,Kosmet,"0","126.021.966.115",,100,I,2023-11-27 00:01:03.000,"197001"
633,Freeda Produtos Veganos e Sustentáveis,Freeda Produtos Veganos e Sustentáveis,"0","9098300101",https://www.freedastore.com,490,I,2023-11-27 00:01:03.000,"197001"
681,ATTOS DISTRIB E IMP DE PROD P SAÚDE,ATTOS DISTRIB E IMP DE PROD P SAÚDE,"0","695081550118",,1,I,2023-11-27 00:01:03.000,"197001"
617,DComércio Brasil,DComércio Brasil,"0","417.461.515.114",,30,I,2023-11-27 00:01:03.000,"197001"
1313,Arbre,Arbre,"1","128.874.804.114",www.arbre.online,30,I,2023-11-27 00:01:03.000,"197001"
1314,POWER FIT SUPLEMENTOS,PowerFit Suplementos,"1","9102567851",https://powerfitsuplementos.com.br,90,I,2023-11-27 00:01:03.000,"197001"
1213,Mercatudo Express,mercatudoexpress.com.br,"0","254888836",https://www.mercatudoexpress.com.br,500,I,2023-11-27 00:01:03.000,"197001"
